"rugbyscopeId","altNames","teamWP"
NA,"Angleterre","%C3%89quipe_d%27Angleterre_de_rugby_%C3%A0_XV"
NA,"Angleterre","%C3%89quipe_d%27Angleterre_de_rugby_%C3%A0_XIII"
NA,"Angleterre","%C3%89quipe_d%27Angleterre_de_rugby_%C3%A0_sept"
NA,"Australie; Australia","%C3%89quipe_d%27Australie_de_rugby_%C3%A0_XV"
NA,"Australie; Australia","%C3%89quipe_d%27Australie_de_rugby_%C3%A0_XIII"
NA,"Bay of Plenty","Bay_of_Plenty_Rugby_Union"
NA,"Bay of Plenty","Baie_de_l%27Abondance_(r%C3%A9gion)"
NA,"Belgique","%C3%89quipe_de_Belgique_de_rugby_%C3%A0_XV"
NA,"Belgique","%C3%89quipe_de_Belgique_de_rugby_%C3%A0_sept"
NA,"Border Reivers","Border_Reivers_(rugby_%C3%A0_XV)"
NA,"Border Reivers","Border_Reivers"
NA,"Canon Eagles","Yokohama_Canon_Eagles"
NA,"Canon Eagles","Canon_Eagles"
NA,"Club San Luis","San_Luis_FC"
NA,"Club San Luis","Club_San_Luis_(rugby_%C3%A0_XV)"
NA,"East Coast Aces","East_Coast_Aces"
NA,"East Coast Aces","wiki/East_Coast_Aces"
NA,"Écosse","%C3%89quipe_d%27%C3%89cosse_de_rugby_%C3%A0_XV"
NA,"Écosse","%C3%89quipe_d%27%C3%89cosse_de_rugby_%C3%A0_XIII"
NA,"États-Unis","%C3%89quipe_des_%C3%89tats-Unis_de_rugby_%C3%A0_XV"
NA,"États-Unis","%C3%89quipe_des_%C3%89tats-Unis_de_rugby_%C3%A0_sept"
NA,"FC Lourdes","Football_club_lourdais_XV_Hautes-Pyr%C3%A9n%C3%A9es"
NA,"FC Lourdes","Football_club_lourdais_Hautes-Pyr%C3%A9n%C3%A9es"
NA,"FCS Rumilly","Football_club_sportif_Rumilly"
NA,"FCS Rumilly","Rugby_club_Savoie_Rumilly"
NA,"Hull FC","Hull_Football_Club"
NA,"Hull FC","Hull_FC"
NA,"Irlande","%C3%89quipe_d%27Irlande_de_rugby_%C3%A0_XV"
NA,"Irlande","%C3%89quipe_d%27Irlande_de_rugby_%C3%A0_XIII"
NA,"Italie","%C3%89quipe_d%27Italie_de_rugby_%C3%A0_XV"
NA,"Italie","%C3%89quipe_d%27Italie_de_rugby_%C3%A0_XIII"
NA,"Kintetsu Liners","Hanazono_Kintetsu_Liners"
NA,"Kintetsu Liners","Kintetsu_Liners"
NA,"Le Havre AC","Le_Havre_Athletic_Club_rugby"
NA,"Le Havre AC","Le_Havre_Athletic_Club"
NA,"NEC Green Rockets","NEC_Green_Rockets_Tokatsu"
NA,"NEC Green Rockets","NEC_Green_Rockets"
NA,"Nouvelle-Zélande","%C3%89quipe_de_Nouvelle-Z%C3%A9lande_de_rugby_%C3%A0_XV"
NA,"Nouvelle-Zélande","Nouvelle-Z%C3%A9lande"
NA,"Pays de Galles","%C3%89quipe_du_pays_de_Galles_de_rugby_%C3%A0_XV"
NA,"Pays de Galles","%C3%89quipe_du_Pays_de_Galles_de_rugby_%C3%A0_XIII"
NA,"Pays de Galles","%C3%89quipe_du_pays_de_Galles_de_rugby_%C3%A0_sept"
NA,"Samoa","%C3%89quipe_des_Samoa_de_rugby_%C3%A0_XV"
NA,"Samoa","%C3%89quipe_des_Samoa_de_rugby_%C3%A0_XIII"
NA,"SCUF","Sporting_Club_universitaire_de_France"
NA,"SCUF","Sporting_Club_universitaire_de_France_rugby"
NA,"Stade français","Stade_fran%C3%A7ais_(athl%C3%A9tisme)"
NA,"Stade français","Stade_fran%C3%A7ais"
