"text","position"
"BK","Back"
"CTB","Centre"
"FB","Fullback"
"FL","Flanker"
"Flanker","Flanker"
"LO","Lock"
"Lock/Flanker","Lock; Flanker"
"No. 8","Number 8"
"No.8","Number 8"
"NO8","Number 8"
"Number 8","Number 8"
"PR","Prop"
"Second Row Forward","2nd Row"
"SH","Scrum-Half"
"SO","Fly-Half"
"WTB","Winger"
"インサイドセンター","Inside Centre"
"ウィング","Winger"
"ウイング","Winger"
"ウィング(WTB)","Winger"
"ウィング（WTB）","Winger"
"ウィング・スクラムハーフ","Winger; Scrum-Half"
"ウィング・フルバック","Winger; Fullback"
"オープン","Openside Flanker"
"オープンウィングアウトサイドセンター","Outside Centre"
"スクラムハーフ","Scrum-Half"
"スクラムハーフ　ウイング","Scrum-Half; Winger"
"スクラムハーフ/ウィング","Scrum-Half; Winger"
"スタンドオフ","Fly-Half"
"スタンドオフ (フライハーフ)","Fly-Half"
"スタンドオフ センター ウィング フルバック","Fly-Half; Centre; Winger; Fullback"
"スタンドオフ　センター　フルバック","Fly-Half; Centre; Fullback"
"スタンドオフ(SO)","Fly-Half"
"スタンドオフ/センター","Fly-Half; Centre"
"スタンドオフ/フライハーフ（SO/Flyhalf）","Fly-Half"
"スリークォーターバック","Three-Quarter"
"センター","Centre"
"センター (CTB)","Centre"
"センター(CTB)","Centre"
"センター（CTB）","Centre"
"センター, ウイング","Centre; Winger"
"センター・フルバック","Centre; Fullback"
"タイトヘッドプロップ","Tighthead Prop"
"ナンバー8","Number 8"
"ナンバーエイト","Number 8"
"ナンバーエイトフランカー","Number 8; Flanker"
"ハーフバック/スクラムハーフ","Scrum-Half"
"フォワード","Forward"
"フッカー","Hooker"
"フライハーフ","Fly-Half"
"フライハーフ（スタンドオフ）","Fly-Half"
"フランカー","Flanker"
"フランカー(FL)","Flanker"
"フルバック","Fullback"
"フルバック(FB)","Fullback"
"プロップ","Prop"
"フロントロー","1st Row"
"ユーティリティBK","Utility Back"
"ユーティリティバックス","Utility Back"
"ラグビーユニオンのポジション#フルバック","Fullback"
"ルースヘッド・プロップ","Loosehead Prop"
"ロック","Lock"
"ロック(LO)","Lock"
"ロック／フランカー","Lock; Flanker"
"不明",""
"右ウィング","Right Winger"
"右プロップ","Loosehead Prop"
